# Directed graph: grafo.txt 
# Save as tab-separated list of edges
# Nodes: 30608 Edges: 95496
# FromNodeId	ToNodeId
223	150
241	237
248	237
249	211
257	237
262	185
269	253
325	324
373	369
387	237
425	423
447	223
447	249
456	36
491	421
502	482
507	133
512	133
518	461
565	36
565	456
641	237
646	185
661	435
680	119
681	184
681	355
681	680
685	666
691	45
696	17
715	712
718	269
720	306
720	705
758	237
764	409
770	391
778	237
813	217
813	387
813	721
814	362
827	435
827	646
828	821
831	237
831	686
831	813
844	813
846	237
848	511
887	863
916	158
916	259
927	237
927	531
935	237
935	744
946	816
973	435
975	842
994	319
1012	185
1054	98
1054	240
1054	258
1054	277
1054	448
1054	461
1054	523
1064	203
1089	285
1093	1041
1118	1032
1151	133
1180	1054
1192	1069
1208	369
1208	813
1218	133
1219	995
1229	1161
1237	273
1240	1199
1245	1161
1257	1128
1264	133
1277	1107
1289	456
1294	816
1300	1296
1308	621
1325	688
1328	565
1343	203
1343	1064
1359	1143
1385	590
1388	133
1398	923
1404	1319
1405	895
1405	1310
1407	1339
1433	309
1440	176
1447	821
1454	1290
1492	593
1494	57
1505	185
1505	237
1507	1502
1515	923
1527	546
1563	398
1569	161
1578	283
1578	386
1579	827
1581	237
1587	661
1597	840
1601	1425
1603	1055
1610	1179
1612	409
1628	816
1629	887
1630	1612
1637	257
1637	813
1638	944
1644	80
1644	857
1644	1609
1647	1597
1648	775
1665	1579
1665	1639
1676	749
1682	814
1688	968
1695	749
1697	488
1697	991
1705	249
1705	1586
1707	1579
1707	1639
1707	1665
1709	1637
1713	1633
1719	1439
1720	816
1721	838
1726	816
1727	1639
1727	1707
1738	775
1745	141
1745	248
1745	266
1745	838
1746	435
1755	594
1761	816
1766	237
1770	779
1774	1761
1776	967
1778	821
1781	816
1784	661
1784	827
1784	973
1794	1769
1795	841
1796	15
1814	212
1819	1338
1830	1398
1830	1593
1831	717
1832	485
1832	887
1850	1290
1855	686
1858	1405
1862	192
1864	151
1864	1104
1865	116
1867	1369
1902	1821
1906	1843
1928	1142
1930	874
1941	491
1951	179
1956	1616
1958	613
1977	6
1992	1494
2005	1620
2010	1405
2013	1867
2015	1821
2031	1761
2033	1289
2052	1054
2081	1136
2083	563
2087	208
2089	273
2089	661
2089	1136
2089	1311
2090	1384
2094	258
2094	1136
2094	2089
2098	1605
2100	1405
2101	1611
2104	2027
2109	1090
2109	1864
2124	1150
2128	717
2128	1405
2128	1726
2137	2118
2151	2094
2153	1597
2163	1223
2174	1025
2196	2137
2210	1571
2217	5
2232	2132
2235	2027
2240	2137
2246	1832
2246	1855
2249	1001
2252	2219
2261	816
2262	333
2272	147
2272	775
2272	1041
2277	467
2277	1054
2280	735
2281	2089
2286	696
2297	816
2300	1089
2300	1497
2304	1343
2305	87
2309	698
2310	316
2310	923
2310	1405
2316	410
2316	2047
2316	2268
2317	1266
2318	577
2324	2027
2329	1398
2342	333
2342	1181
2355	1075
2356	2089
2357	1015
2357	2103
2359	2027
2359	2316
2372	2086
2375	2331
2380	2027
2388	2084
2395	821
2396	1405
2405	1343
2405	1515
2406	1398
2407	458
2407	987
2407	2300
2408	1197
2415	1338
2416	237
2416	1678
2421	1054
2421	2281
2424	1061
2434	1821
2434	1974
2453	1449
2459	2457
2460	1508
2478	2019
2496	1945
2512	1140
2529	627
2533	863
2533	1865
2534	198
2536	258
2536	827
2545	816
2549	1050
2560	1041
2562	237
2564	1421
2569	988
2570	2027
2574	923
2578	2027
2582	943
2587	863
2587	2316
2589	943
2589	2582
2596	203
2606	749
2611	1064
2611	2564
2613	1433
2613	1906
2630	2589
2640	2329
2648	2509
2651	832
2658	1823
2659	1839
2660	1761
2672	224
2674	203
2674	1066
2677	467
2677	1138
2677	2087
2677	2089
2678	606
2678	2104
2678	2677
2679	1289
2689	1044
2689	1064
2689	1343
2689	2179
2689	2564
2689	2611
2691	2677
2693	1343
2694	1439
2703	238
2706	1136
2706	2081
2715	2027
2716	207
2717	2676
2718	2676
2722	2676
2724	2706
2725	703
2728	2477
2730	2405
2735	461
2740	249
2742	279
2754	461
2754	2706
2757	352
2757	1839
2757	2485
2757	2660
2764	827
2764	968
2764	973
2764	1746
2770	151
2775	1054
2795	735
2795	856
2796	735
2799	2706
2808	565
2808	2706
2808	2759
2813	2089
2813	2228
2834	2008
2843	814
2844	203
2844	280
2844	1064
2844	1066
2844	1343
2844	1515
2844	2405
2844	2423
2844	2430
2844	2564
2844	2587
2844	2593
2844	2611
2844	2674
2844	2689
2844	2730
2860	450
2865	2611
2865	2844
2866	686
2866	1405
2874	2364
2876	2407
2878	2640
2881	1833
2881	1968
2890	2027
2912	863
2912	1740
2912	2015
2923	613
2923	2834
2926	973
2926	1745
2926	1746
2926	2089
2926	2575
2929	1118
2930	613
2939	1508
2958	2436
2978	973
2982	2828
2984	635
2984	636
2984	1150
2988	2607
2990	1041
2999	2860
3001	1247
3001	1414
3001	2024
3001	2789
3006	1821
3006	2757
3006	2999
3008	2607
3011	2849
3015	2027
3020	1191
3020	2636
3027	686
3028	423
3028	2436
3031	1850
3051	1480
3056	1859
3056	2442
3056	2834
3056	3028
3057	2020
3064	1528
3064	2460
3068	2873
3070	3056
3074	863
3074	3064
3079	2635
3083	1460
3084	1906
3096	2582
3096	2589
3106	1958
3106	2027
3120	3057
3129	1343
3129	2611
3130	863
3130	2310
3133	2992
3137	2582
3137	2589
3141	2589
3141	2612
3141	2640
3145	415
3145	471
3145	503
3145	2757
3146	1620
3146	2423
3149	671
3153	3057
3156	3080
3158	1405
3159	2027
3160	2613
3168	2689
3170	2862
3172	2832
3176	2996
3187	783
3191	266
3191	277
3191	827
3191	968
3191	1414
3191	1497
3191	1505
3191	1746
3191	2300
3191	2407
3191	2926
3191	3001
3195	3179
3205	495
3205	2859
3208	2757
3210	1929
3215	2407
3219	238
3238	1877
3244	497
3244	575
3244	627
3244	3130
3245	2001
3251	725
3251	1906
3251	2533
3251	3213
3257	2980
3264	2757
3264	3125
3279	277
3279	2094
3279	2848
3288	1072
3290	1290
3290	2873
3298	1398
3301	3017
3301	3057
3302	3057
3303	3225
3304	3064
3306	1405
3306	2027
3307	203
3307	973
3307	1343
3307	1515
3307	2564
3307	2674
3307	2844
3308	2757
3314	863
