categoryName;englishName;humanFormat;populate;visible;generalizations;mutexExceptions;knownNegatives;instanceType;seedInstances;seedExtractionPatterns;conceptSynonyms;queryString;editDate;author;curator;description;freebaseID;comment;
everyPromotedThing;;%s is {something};FALSE;FALSE;;;;all;;;;todas promoções;2014-10-31;Maísa Duarte;Maísa Duarte;every promoted category instance in KB;;;
abstractThing;;%s is an {abstract thing};FALSE;FALSE;everyPromotedThing;;;all;;;;abstrato;2014-10-31;Maísa Duarte;Maísa Duarte;"thought, quality, characteristic apart from concrete realities, specific objects, or actual instances; theoretical, not applied or practical (http://dictionary.reference.com/browse/abstract)";;;
campoAcadêmico;academic fields;%s is an {academic field};TRUE;TRUE;abstractThing;questõesPolíticas setorEconômico;;all;"""Astronomia"" ""Biologia"" ""Literatura Comparada"" ""Ciência da Computação"" ""Economia"" ""Ciências Ambientais"" ""Geologia"" ""Históra"" ""Linguística"" ""Matemática"" ""Filosofia"" ""Física"" ""Psicologia"" ""Sociologia"" ""Artes Cênicas""";"""_ é um campo acadêmico"" ""_ é o campo acadêmico"" ""_ é um dos campos acadêmicos"" ""_ campo acadêmico conhecido como"" "" campo acadêmico conhecido como _"" "" campo acadêmico chamado de _"" "" campo acadêmico apelidado de _"" ""_ é um curso acadêmico"" ""_ é o curso acadêmico"" ""_ é um dos cursos acadêmicos"" ""_ curso acadêmico conhecido como"" "" curso acadêmico conhecido como _"" "" curso acadêmico chamado de _"" "" curso acadêmico apelidado de _"" ""_ é uma área acadêmica"" ""_ é a área acadêmica"" ""_ é uma das áreas acadêmicas"" ""_ área acadêmica conhecida como"" ""área acadêmica conhecida como _"" ""área acadêmica chamada de _"" ""área acadêmica apelidada de _"" ""área acadêmica tais como _"" ""áreas acadêmicas tais como _"" ""área acadêmica como _"" ""áreas acadêmicas como _"" ""cursos da área de _"" ""cursos de _ "" ""curso de _ "" ""área acadêmica de _"" ""curso acadêmico de _""";;campo acadêmico;2014-10-31;Maísa Duarte;Maísa Duarte;A field of study is the field, area, or discipline which is the focus of study of a student or academic, or which is taught in a school.;/education/field_of_study;Translated;
ator;actors;%s is an {actor};TRUE;TRUE;pessoa;masculino atleta pessoaPorLocalidade diretorDeCinema comediante feminino modelo celebridade professor;;proper;" ""Regina Duarte"" ""Carolina Dieckmann"" ""Tony Ramos"" ""Giovanna Antonelli"" ""Mateus Solano"" ""Brad Pitt"" ""Cauã Reymond"" ""Angelina Jolie"" ""Giovanna Lancellotti"" ""Lázaro Ramos"" ""Bruna Marquezine"" ""Stênio Garcia"" ""Gabriel Braga"" ""Paola Oliveira"" ""Tarcisio Meira""";"""_ é um ator"" ""_ é o ator"" ""_ é um dos atores"" ""_ ator conhecido como"" ""ator conhecido como _"" ""ator chamado de _"" ""ator apelidado de _"" ""_ é uma atriz"" ""_ é a atriz"" ""_ é uma das atrizes"" ""_ atriz conhecida como"" ""atriz conhecida como _"" ""atriz chamada de _"" ""atriz apelidada de _"" ""atriz tais como _"" ""atrizes tais como _"" ""atores tais como _"" ""atriz como _"" ""atores como _"" ""atrizes como _""";;ator;2014-10-31;Maísa Duarte;Maísa Duarte;An actor is a person who performs in movies, television, plays, or other forms of entertainment.;;Removed some names and added brazilian names;
agent;;%s is an {agent};FALSE;FALSE;everyPromotedThing;;;all;;;;agente;2014-10-31;Maísa Duarte;Maísa Duarte;"a person or business authorized to act on another's behalf; a person or thing that acts or has the power to act; a natural force or object producing or used for obtaining specific results (http://dictionary.reference.com/browse/agent), and more generally, anything that can exhibit agency, such as non-human life forms.";;;
produtoAgrícola;agricultural products;%s is an {agricultural product};TRUE;TRUE;item;castanha legume cereal fruta vegetal carne animal bebida;"""cães"" ""gatos"" ""soda""";all;"""trigo"" ""milho"" ""soja"" ""leite"" ""algodão"" ""lã"" ""cânhamo"" ""seda"" ""linho"" ""gado"" ""porcos"" ""legumes"" ""arroz"" ""flores"" ""produtos lácteos"" ""queijo"" ""feijão"" ""amendoim"" "" madeira"" ""café"" ""açúcar"" ""cacau""";"""_ é um produto agrícola"" ""_ é o produto agrícola"" ""_ é um dos produtos agrícolas"" ""_ produto agrícola conhecido como"" "" produto agrícola conhecido como _"" "" produto agrícola chamado de _"" "" produto agrícola apelidado de _"" ""_ é um produto rural"" ""_ é o produto rural"" ""_ é um dos produtos rurais"" ""_ produto rural conhecido como"" ""produto rural conhecido como _"" "" produto rural chamado de _"" ""produto rural apelidado de _"" ""produtos rurais tais como _"" ""produtos rurais como _"" ""produtos agrícolas como _"" ""produto agrícola como _""  ""produtos agrícolas tais como _"" ""produto agrícola tais como _"" ";;produto agrícola;2014-10-31;Maísa Duarte;Maísa Duarte;a living thing (or something derived therefrom) which is specifically cultivated and produced to sustain or enrich life;none;Translated;
aeroporto;airports;%s is an {airport};TRUE;TRUE;construção;;;proper;"""Área 51"" ""Aeroporto Internacional de Guarulhos"" ""Aeroporto Internacional Tancredo Neves"" ""Aeroporto Internacional de Los Angeles"" ""Aeroporto Internacional de Amsterdã Schiphol"" ""Aeroporto Estadual Dr. Leite Lopes"" ""Aeroporto de Frankfurt"" ""Aeroporto Internacional John F. Kennedy"" ""Aeroporto Internacional de Atenas"" ""Aeroporto Internacional Salgado Filho"" ""Aeroporto Internacional Galeão"" ""Aeroporto Internacional de Viracopos–Campinas""";"""_ é um aeroporto"" ""mau tempo fecha _"" ""pouso e decolagem no _"" ""_  aeroporto mais movimentado""  ""vai desembarcar no aeroporto _"" ""desembarcou no _"" ""embarcou no aeroporto _"" ""terminal 2 do _"" ""terminal 1 do _"" ""o aeroporto _"" ""mau tempo fecha _"" ""TAM no Aeroporto _"" ""TAM retornou ao _"" ""avião retornou ao _"" ""sede do Aeroporto _"" ""região do Aeroporto _"" ""última decolagem em _"" ""_ é o aeroporto"" ""é o aeroporto _"" ""aeroporto conhecido como _"" ""aeroporto chamado de _"" ""aeroporto apelidado de _"" ""_ é um dos aeroportos"" ""aeroportos tais como _"" ""aeroportos assim como _"" ""aeroportos como _"" ""aeroporto tal como _"" ""aeroporto assim como _"" ""aeroporto como _""";;aeroporto;2014-10-31;Maísa Duarte;Maísa Duarte;"""A place where airplanes, helicopters, or other flying vehicles land and take off""";/aviation/airport;Removed almost all and added brazilian names;
anfíbio;amphibians;%s is an {amphibian};TRUE;TRUE;vertebrado;;;common;" ""sapo"" ""salamandra"" ""cobra-cega"" ""perereca verde"" ""rã"" ""sapo cururu"" ""filomedusa"" ""rã da floresta"" ""enguia"" ""tritão"" ""proteu"" ""perereca da taboa"" ""perereca de vidro"" ""salamandra de fogo"" ""sereia""";"""_ é um anfíbio"" ""_ é o anfíbio"" ""_ é um dos anfíbios"" "" anfíbio conhecido como _"" ""anfíbio chamado de _"" ""anfíbio apelidado de _"" ""anfíbios tais como _"" ""anfíbios assim como _"" ""anfíbios como _""";;anfíbio;2014-10-31;Maísa Duarte;Maísa Duarte;"Amphibians (class Amphibia, from Amphi- meaning ""on both sides"" and -bios meaning ""life""), such as frogs, salamanders, and caecilians, are ectothermic (or cold-blooded) animals that metamorphose from a juvenile water-breathing form, either to an adult air-breathing form, or to a paedomorph that retains some juvenile characteristics.";none;Translated, removed some names and added brazilian names;
animal;animals;%s is an {animal};TRUE;TRUE;agent espécies;produtoAgrícola;;common;"""formigas"" ""caranguejos"" ""brontossauros"" ""corujas"" ""abelhas"" ""pássaros"" ""vermes"" ""caracóis"" ""esquilos"" ""baleias"" ""vespas"" ""golfinhos"" ""girafas"" ""rinocerontes"" ""tubarões""";"""_ é um animal"" ""_ é o animal"" ""animal conhecido como _"" ""animal chamado de _"" ""animal apelidado de _"" ""_ é um dos animais"" ""animais tais como _"" ""animais assim como _"" ""animais como _"" ""animal tal como _"" ""animal assim como _"" ""animal como _""";;animal;2014-10-31;Maísa Duarte;Maísa Duarte;A collection of common-sense animals, more understandable to children than biologists.  It's OK to include both general kinds of animals, such as bird, but also common varieties of birds such as finch and robin. (FreeBase)  As with plant, any mortal action upon an animal or action on a dead animal that results in something with a new name (e.g. milking, shearing, slaughtering, or cooking it) results in something that is no longer an animal.;/biology/animal;Translated;
aquário;aquariums;%s is an {aquarium};TRUE;TRUE;atração;parque zoológico;;proper;"""Aquário de Vancouver"" ""Aquário de Georgia"" ""Aquário de Okinawa Churaumi"" ""Aquário de Melbourne"" ""Aquário de Génova"" ""Aquário de Sydney"" ""Aquário de Nova Iorque""";"""_ é um aquário"" ""_ é o aquário"" ""é o aquário _"" ""aquário conhecido como _"" ""aquário chamado de _"" ""aquário apelidado de _"" ""_ é um dos aquários"" ""aquários tais como _"" ""aquários assim como _"" ""aquários como _"" ""aquário tal como _"" ""aquário assim como _"" ""aquário como _""";;aquático;2014-10-31;Maísa Duarte;Maísa Duarte;the aquatic counterpart of a zoo, housing living aquatic species for viewing;"not present in Freebase; Source: http://en.wikipedia.org/wiki/Public_aquarium";Translated;
