category_name;englishName;populate;generalizations;mutexExceptions;instanceType;seedInstances
everyPromotedThing;;FALSE;;;all;
abstractThing;;FALSE;everyPromotedThing;;all;
agent;;FALSE;everyPromotedThing;;all;
item;items;FALSE;everyPromotedThing;;all;
location;locations;FALSE;everyPromotedThing;;all;" ""Allegheny County"" ""Alpha Centauri"" ""Cook County"" ""Disney World"" ""downtown"" ""Mars"" ""Midtown"" ""park"" ""Pluto"" ""SoHo"" ""Wicker Park"""
event;events;FALSE;abstractThing;;all;
organization;organizations;FALSE;agent;;all;
continent;continents;FALSE;location;;proper;" ""Africa"" ""Antarctica"" ""Asia"" ""Australia"" ""Europe"" ""North America"" ""South America"""
academicField;academic fields;TRUE;abstractThing;;all;" ""Astronomy"" ""Biology"" ""Comparative Literature"" ""Computer Science"" ""Economics"" ""Environmental Science"" ""Geology"" ""History"" ""Linguistics"" ""Mathematics"" ""Philosophy"" ""Physics"" ""Psychology"" ""Sociology"" ""Theatre Arts"" "
awardTrophyTournament;championships;TRUE;abstractThing;;all;" ""Stanley Cup"" ""World Series"" ""French Open"" ""US Open"" ""NCAA Finals"" ""Super Bowl"" ""World Cup"" ""Indy 500"" ""National League Pennant"" ""British Open"" ""Kentucky Derby"" ""American League Pennant"" ""Colonial Cup"" ""Rose Bowl"" ""WNBA Finals"""
boardGame;board games;TRUE;abstractThing;;all;" ""backgammon"" ""Battleship"" ""checkers"" ""chess"" ""Diplomacy"" ""Go"" ""mancala"" ""Monopoly"" ""Parcheesi"" ""Pictionary"" ""Risk"" ""RoboRally"" ""Scrabble"" ""Settlers of Catan"" ""Sorry"" ""The Game of Life"" ""Yahtzee"""
book;books;TRUE;abstractThing;;proper;" ""Freakonomics"" ""Rich Dad Poor Dad"" ""The South Beach Diet"" ""The Da Vinci Code"" ""Harry Potter And The Goblet Of Fire"" ""The Purpose Driven Life"" ""Ulysses"" ""The Great Gatsby"" ""Brave New World"" ""The Grapes of Wrath"""
buildingMaterial;building materials;TRUE;abstractThing;;common;"concrete steel iron copper brass PVC glass rocks ""ceramic tile"" ""vinyl flooring"" "
cardGame;card games;TRUE;abstractThing;;all;" ""Poker"" ""Texas Holdem"" ""Cribbage"" ""Spades"" ""Hearts"" ""Whist"" ""Blackjack"" ""Baccarat"" ""Solitaire"" ""Rummy"""
cellType;cell types;TRUE;abstractThing;;common;" ""red blood cells"" ""T cells"" ""B cells"" ""monocytes"" ""leucocytes"" ""lymphocytes"" ""macrophages"" ""HIV-infected cells"" ""granulocytes"" ""platelets"" ""malignant cells"" ""normal cells"" ""hepatic microsomes"" ""fibroblasts"" ""mononuclear cells"""
characterTrait;character traits;TRUE;abstractThing;;common;" ""courage"" ""honesty"" ""hypocrisy"" ""kindness"" ""vanity"" ""truthfulness"" ""sincerity"" ""willfulness"" ""reliability"" ""unreliability"" ""frankness"" ""generosity"" ""fortitude"" ""tenacity"" ""dishonesty"""
chemical;chemicals;TRUE;abstractThing;;common;" ""ethylene glycol"" ""ammonium hydroxide"" ""calcium carbonate"" ""calcium oxide"" ""boric acid"" ""calcium hydroxide"" ""potassium carbonate"" ""ascorbic acid"" ""sodium hydroxide"" ""ammonium chloride"""
cognitiveActions;cognitive processes;TRUE;abstractThing;;common;thinking pondering concluding determining judging envisioning brooding fathoming knowing imagining learning
conference;conferences;TRUE;abstractThing;;proper;" ""ICML"" ""NIPS"" ""AAAI"" ""IJCAI"" ""G20"" ""TED Conference"" ""KDD"" ""ACM"" ""WSDM"" ""Semantic Web Conference"" ""SIGIR"" ""SODA"" ""ISWC"" ""SIGGRAPH"" ""CIKM"""
currency;currencies;TRUE;abstractThing;;common;" ""dollars"" ""pesos"" ""rubles"" ""yen"" ""euros"" ""pounds"" ""kroner"" ""dinars"" ""shillings"" ""francs"" ""lire"" ""rands"" ""rupees"" ""marks"" ""sheqels"""
date;dates;FALSE;abstractThing;;all;" ""September 11 , 2001"" ""last Tuesday"" ""December 25"" ""next Sunday"" ""January 29"" ""July 4, 1776"" ""next Monday"" ""last Saturday"" ""March 12"" ""April 1"""
disease;diseases;TRUE;abstractThing;;all;" ""lung cancer"" ""diabetes"" ""breast cancer"" ""arthritis"" ""avian flu"" ""meningitis"" ""smallpox"" ""rubella"" ""Ebola"" ""Encephalitis"" ""bronchitis"""
economicSector;economic sectors;TRUE;abstractThing;;all;" ""advertising"" ""aerospace"" ""agriculture"" ""aluminum"" ""biotechnology"" ""computer hardware"" ""computer software"" ""consumer banking"" ""consumer electronics"" ""financial services"" ""imaging"" ""investment banking"" ""pharmaceuticals"" ""semiconductors"" ""video games"""
emotion;emotions;TRUE;abstractThing;;common;" ""anxiety"" ""depression"" ""hate"" ""joy"" ""love"" ""happiness"" ""sadness"" ""fear"" ""anger"" ""frustration"" ""glee"" ""bliss"" ""jealousy"" ""enthusiasm"" ""boredom"""
eventOutcome;outcomes;TRUE;abstractThing;;common;success failure stalemate triumph miscue misfortune victory misadventure defeat loss
geometricShape;geometric shapes;TRUE;abstractThing;;common;" ""squares"" ""ovals"" ""triangles"" ""hexagons"" ""cubes"" ""octagons"" ""ellipses"" ""nonogons"" ""pentagons"" ""trapezoids"" ""parallelograms"""
hobby;hobbies;TRUE;abstractThing;sport visualArtForm;all;" ""coin collecting"" ""cooking"" ""crochet"" ""embroidery"" ""fishing"" ""gardening"" ""genealogy"" ""hiking"" ""hunting"" ""knitting"" ""music"" ""painting"" ""photography"" ""quilting"" ""reading"""
mediaType;media;TRUE;item;;all;"books ""record albums"" CDs DVDs memoirs magazines LPs MP3s posters cassettes"
medicalProcedure;medical procedures;TRUE;abstractThing;;all;" ""appendectomy"" ""free skin graft"" ""hysteroscopy"" ""prostatectomy"" ""Cesarean section"" ""heart bypass"" ""hip replacement"" ""Angioplasty"" ""bone density scan"" ""Carotid endarterectomy"""
militaryEventType;military events;TRUE;abstractThing;;common;"attacks ambushes bombings surges hijackings skirmishes retreats bombardments ""air raids"" ""air strikes"""
mlAlgorithm;machine learning algorithms;TRUE;abstractThing;mlArea;all;"SVMs HMMs ""Conditional Random Fields"" ""Hidden Markov Models"" ""Markov Decision Processes"" ""forward-backward algorithm"" ""radial basis function networks"" ""Support Vector Machines"" ""Perceptrons"" ""logistic regression"" ""Q-learning"" ""Random Forests"""
mlArea;machine learning areas;TRUE;abstractThing;mlAlgorithm;all;" ""supervised learning"" clustering ""feature selection"" ""kernel methods"" ""Neural Networks"" ""Information Extraction"" ""Bayesian Inference"" ""Graphical Models"" ""statistical machine learning"" ""statistical learning theory"" ""structure learning"" ""computational learning theory"" ""semi-supervised learning"" ""reinforcement learning"""
mlDataset;machine learning data sets;TRUE;abstractThing;;all;" ""Iris"" ""CORA"" ""Abalone"" Spambase ""20 Newsgroups"" ""Penn Treebank"" ""DBLP"" MUC-7 ""Netflix data"" "
mlMetric;machine learning evaluation metrics;TRUE;abstractThing;;all;"precision recall ""ROC curve"" ""mean average precision"" ""BLEU"" AUC perplexity ""F measure"""
