start;end;path;frequency
refried_beans;chicken;[inverseofanimaleatfood,animaleatfood,inverseofanimaleatfood];505
baked_beans;chicken;[inverseofanimaleatfood,animaleatfood,inverseofanimaleatfood];505
lima_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];378
lima_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];341
string_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];316
lima_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];287
lima_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];287
string_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];257
bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];248
soya_bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];248
bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];247
soya_bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];247
pea;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];247
string_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];229
string_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];196
string_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];182
soya_bean;pepper;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];158
bean;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];158
soya_bean;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];158
bean;pepper;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];158
pea;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];158
lima_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];158
lima_beans;salt;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];153
string_beans;salt;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];152
lima_beans;salt;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];145
bean;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
antioxidant;cancer;[fooddecreasestheriskofdisease,inverseoffooddecreasestheriskofdisease,fooddecreasestheriskofdisease];141
soya_bean;pepper;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
soya_bean;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
bambara_groundnut;products;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];141
lima_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
pea;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
bean;pepper;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];141
string_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];129
string_beans;peppers;[agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];128
string_beans;peppers;[agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];123
string_beans;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];121
member;valley;[objectfoundinscene,scenecontainsobject,objectfoundinscene];117
status;valley;[objectfoundinscene,scenecontainsobject,objectfoundinscene];117
string_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];116
string_beans;peppers;[agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];114
string_beans;peppers;[agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];113
refried_beans;chicken;[inverseofanimaleatfood,animaleatvegetable,inverseofanimaleatvegetable];112
baked_beans;chicken;[inverseofanimaleatfood,animaleatvegetable,inverseofanimaleatvegetable];112
string_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];108
soya_bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];106
pea;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];106
bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];106
string_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];106
string_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];105
bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];105
soya_bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];105
lima_beans;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofanimaleatfood];100
refried_beans;pepper;[inverseofanimaleatfood,animaleatfood,agriculturalproductcookedwithagriculturalproduct];100
listing;salmon;[inverseoffishservedwithfood,fishservedwithfood,inverseoffishservedwithfood];100
baked_beans;pepper;[inverseofanimaleatfood,animaleatfood,agriculturalproductcookedwithagriculturalproduct];100
status;salmon;[inverseoffishservedwithfood,fishservedwithfood,inverseoffishservedwithfood];100
string_beans;pepper;[agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];99
lima_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];99
string_beans;pepper;[agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];97
lima_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];97
antioxidant;heart_disease;[fooddecreasestheriskofdisease,inverseoffooddecreasestheriskofdisease,fooddecreasestheriskofdisease];97
baked_beans;pepper;[inverseofanimaleatfood,animaleatfood,inverseofagriculturalproductcookedwithagricultureproduct];96
refried_beans;pepper;[inverseofanimaleatfood,animaleatfood,inverseofagriculturalproductcookedwithagricultureproduct];96
lima_beans;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];96
string_beans;pepper;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];95
bark;insects;[inverseofinvertebratefeedonfood,agentcompeteswithagent,agentcompeteswithagent];93
bark;insects;[inverseofanimaleatfood,agentcompeteswithagent,agentcompeteswithagent];90
bark;insects;[inverseofinvertebratefeedonfood,inverseofanimalsuchasinvertebrate,animalsuchasinvertebrate];90
bean;salt;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];89
bark;insects;[inverseofinvertebratefeedonfood,animalthatfeedoninsect,inverseofanimalfeedoninsect];89
soya_bean;salt;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];89
soya_bean;salt;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];89
bean;salt;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];89
pea;salt;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];89
string_beans;pepper;[agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];88
lima_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];88
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinvertebrate,inverseofanimalsuchasinvertebrate];86
lima_beans;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];86
string_beans;pepper;[agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];86
bark;insects;[inverseofanimaleatfood,animalsuchasinvertebrate,inverseofanimalsuchasinvertebrate];84
refried_beans;chicken;[inverseofanimaleatfood,animaleatfood,inverseofanimaleatvegetable];83
refried_beans;chicken;[inverseofanimaleatfood,animaleatvegetable,inverseofanimaleatfood];83
baked_beans;chicken;[inverseofanimaleatfood,animaleatvegetable,inverseofanimaleatfood];83
baked_beans;chicken;[inverseofanimaleatfood,animaleatfood,inverseofanimaleatvegetable];83
bark;insects;[inverseofanimaleatfood,inverseofanimalsuchasinvertebrate,animalsuchasinvertebrate];82
member;observatory;[objectfoundinscene,scenecontainsobject,objectfoundinscene];80
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinsect,inverseofanimalsuchasinsect];80
status;observatory;[objectfoundinscene,scenecontainsobject,objectfoundinscene];80
bark;insects;[inverseofinvertebratefeedonfood,animalpreyson,animalpredators];80
pea;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];78
string_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];78
pea;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];78
bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];78
bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];78
soya_bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];78
soya_bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];78
soya_bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];77
string_beans;black_pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];77
bean;oil;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductincludingagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];77
bark;insects;[inverseofanimaleatfood,animalthatfeedoninsect,inverseofanimalfeedoninsect];77
bark;insects;[inverseofanimaleatfood,animalpreyson,animalpredators];77
bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];77
soya_bean;oil;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductincludingagriculturalproduct];77
string_beans;oil;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];77
bark;insects;[inverseofanimaleatfood,animalsuchasinsect,inverseofanimalsuchasinsect];76
bark;insects;[inverseofinvertebratefeedonfood,animaltypehasanimal,animalistypeofanimal];75
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinsect,inverseofanimalsuchasinvertebrate];74
bark;insects;[inverseofanimaleatfood,animaltypehasanimal,animalistypeofanimal];73
bark;insects;[inverseofinvertebratefeedonfood,animalthatfeedoninsect,inverseofanimalsuchasinsect];73
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinvertebrate,inverseofanimalsuchasinsect];72
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinvertebrate,animalpredators];72
color_television;rooms;[itemfoundinroom,roomcancontainitem,itemfoundinroom];71
soya_bean;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];71
soya_bean;chicken;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];71
pea;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];71
refried_beans;oil;[inverseofanimaleatfood,animaleatfood,inverseofagriculturalproductcookedwithagricultureproduct];71
baked_beans;oil;[inverseofanimaleatfood,animaleatfood,inverseofagriculturalproductcookedwithagricultureproduct];71
bark;insects;[inverseofinvertebratefeedonfood,animalthatfeedoninsect,inverseofanimalsuchasinvertebrate];71
bean;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];71
bean;chicken;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatfood];71
string_beans;chicken;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofanimaleatvegetable];70
bark;insects;[inverseofanimaleatfood,animalsuchasinvertebrate,inverseofanimalsuchasinsect];70
bark;insects;[inverseofanimaleatfood,animalsuchasinsect,inverseofanimalsuchasinvertebrate];70
bark;insects;[inverseofinvertebratefeedonfood,animalpreyson,inverseofanimalsuchasinvertebrate];70
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinvertebrate,agentcompeteswithagent];69
soya_bean;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
string_beans;oil;[agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
bark;insects;[inverseofinvertebratefeedonfood,inverseofarthropodandotherarthropod,arthropodandotherarthropod];69
soya_bean;peppers;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
bean;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
pea;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
bean;peppers;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct];69
bark;insects;[inverseofanimaleatfood,animalsuchasinvertebrate,animalpredators];68
soya_bean;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];68
bark;insects;[inverseofinvertebratefeedonfood,animaltypehasanimal,animalpredators];68
bark;insects;[inverseofinvertebratefeedonfood,inverseofarthropodandotherarthropod,inverseofanimalsuchasinsect];68
pea;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];68
soya_bean;peppers;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];68
bark;insects;[inverseofanimaleatfood,animalpreyson,inverseofanimalsuchasinvertebrate];68
string_beans;salt;[inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct];68
bean;peppers;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];68
string_beans;oil;[agriculturalproductcookedwithagriculturalproduct,inverseofagriculturalproductcookedwithagricultureproduct,inverseofagriculturalproductcookedwithagricultureproduct];68
bean;peppers;[inverseofagriculturalproductincludingagriculturalproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];68
bark;insects;[inverseofinvertebratefeedonfood,agentcompeteswithagent,inverseofanimalsuchasinvertebrate];67
bark;insects;[inverseofinvertebratefeedonfood,animaltypehasanimal,agentcompeteswithagent];67
string_beans;black_pepper;[inverseofagriculturalproductcookedwithagricultureproduct,agriculturalproductcookedwithagriculturalproduct,agriculturalproductcookedwithagriculturalproduct];67
bark;insects;[inverseofanimaleatfood,inverseofarthropodandotherarthropod,arthropodandotherarthropod];67
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinsect,inverseofanimalfeedoninsect];67
bark;insects;[inverseofinvertebratefeedonfood,agentcompeteswithagent,animalpredators];66
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinsect,animalpredators];66
bark;insects;[inverseofanimaleatfood,agentcompeteswithagent,inverseofanimalsuchasinvertebrate];66
bark;insects;[inverseofinvertebratefeedonfood,inverseofanimalsuchasinvertebrate,animalpredators];66
bark;insects;[inverseofinvertebratefeedonfood,animalthatfeedoninsect,animalpredators];66
bark;insects;[inverseofanimaleatfood,animalsuchasinvertebrate,agentcompeteswithagent];66
bark;insects;[inverseofinvertebratefeedonfood,inverseofanimalsuchasinvertebrate,agentcompeteswithagent];66
bark;insects;[inverseofinvertebratefeedonfood,animalpreyson,agentcompeteswithagent];66
bark;insects;[inverseofinvertebratefeedonfood,animaltypehasanimal,animalsuchasinvertebrate];65
bark;insects;[inverseofinvertebratefeedonfood,animalsuchasinvertebrate,animalistypeofanimal];65
