start;end;path;frequency
showboat;vegas;[subpartof,citycontainsbuilding,buildinglocatedincity];258
click;form;[createdbyagent,agentcreated,createdbyagent];224
click;contact_us;[createdbyagent,agentcreated,createdbyagent];190
batman;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];182
batman;tim_burton;[moviestaractor,directordirectedmovie,moviedirectedbydirector];168
click;button;[createdbyagent,agentcreated,createdbyagent];150
click;details;[createdbyagent,agentcreated,createdbyagent];136
batman;jack_nicholson;[moviestaractor,actorstarredinmovie,moviestaractor];126
click;page001;[createdbyagent,agentcreated,createdbyagent];114
batman;heath_ledger;[moviestaractor,actorstarredinmovie,moviestaractor];112
click;home;[createdbyagent,agentcreated,createdbyagent];108
jurassic_park;steven_spielberg;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];104
click;links;[createdbyagent,agentcreated,createdbyagent];102
click;comments;[createdbyagent,agentcreated,createdbyagent];98
click;tab;[createdbyagent,agentcreated,createdbyagent];94
click;number;[createdbyagent,agentcreated,createdbyagent];90
wonderland;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];88
batman;chris_nolan;[moviestaractor,actorstarredinmovie,moviedirectedbydirector];84
batman;tim_burton;[moviestaractor,actorstarredinmovie,moviedirectedbydirector];84
batman;tom_mankiewicz;[moviestaractor,actorstarredinmovie,moviedirectedbydirector];84
click;pictures;[createdbyagent,agentcreated,createdbyagent];84
batman;batman;[moviestaractor,actorstarredinmovie];84
batman;christian_bale;[moviestaractor,actorstarredinmovie,moviestaractor];84
raging_bull;martin_scorscese;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];80
click;ideas;[createdbyagent,agentcreated,createdbyagent];78
click;articles;[createdbyagent,agentcreated,createdbyagent];78
click;more_information;[createdbyagent,agentcreated,createdbyagent];78
click;features;[createdbyagent,agentcreated,createdbyagent];78
click;view;[createdbyagent,agentcreated,createdbyagent];78
click;picture;[createdbyagent,agentcreated,createdbyagent];72
batman;michael_keaton;[moviestaractor,actorstarredinmovie,moviestaractor];70
batman;tim_burton;[moviestaractor,actorstarredinmovie,moviestaractor];70
batman;adam_west;[moviestaractor,actorstarredinmovie,moviestaractor];70
goodfellas;martin_scorscese;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];70
click;today;[createdbyagent,agentcreated,createdbyagent];68
the_nightmare_before_christmas;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];66
charlie_and_the_chocolate_factory;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];66
raging_bull;martin_scorsese;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];64
click;home;[createdbyagent,agentinvolvedwithitem,iteminvolvedwithagent];64
hook;steven_spielberg;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];63
click;team;[createdbyagent,agentcreated,createdbyagent];62
kundun;martin_scorscese;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];60
click;free;[createdbyagent,agentcreated,createdbyagent];60
superman;bryan_singer;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];56
superman;richard_donner;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];56
braveheart;mel_gibson;[moviedirectedbydirector,actorstarredinmovie,moviestaractor];56
superman;brandon_routh;[moviedirectedbydirector,directordirectedmovie,moviestaractor];56
click;questions;[createdbyagent,agentcreated,createdbyagent];56
goodfellas;martin_scorsese;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];56
jaws;steven_spielberg;[creativeworkcontributedtobyagent,directordirectedmovie,moviedirectedbydirector];56
edward_scissorhands;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];55
apocalypse;john;[creativeworkcontributedtobyagent,hasspouse,hasspouse];55
showboat;vegas;[subpartof,cityattractions,attractionofcity];55
sleepy_hollow;tim_burton;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];55
click;buttons;[createdbyagent,agentcreated,createdbyagent];54
jurassic_park;spielberg;[moviedirectedbydirector,directordirectedmovie,moviedirectedbydirector];52
click;email;[createdbyagent,agentcreated,createdbyagent];52
click;click;[createdbyagent,agentcreated];52
showboat;vegas;[subpartof,citycontainsbuilding,locationlocatedwithinlocation];51
click;reviews;[createdbyagent,agentcreated,createdbyagent];50
click;staff;[createdbyagent,agentcreated,createdbyagent];50
click;pics;[createdbyagent,agentcreated,createdbyagent];50
click;gallery;[createdbyagent,agentcreated,createdbyagent];50
click;selection;[createdbyagent,agentcreated,createdbyagent];50
click;banner;[createdbyagent,agentcreated,createdbyagent];50
click;sites;[createdbyagent,agentcreated,createdbyagent];50
bugsy;bugsy;[creativeworkcontributedtobyagent,agentcontributedtocreativework];50
click;list;[createdbyagent,agentcreated,createdbyagent];50
